"university_name","university_slug","group","decile","cumulative_percentage"
"Birmingham City University","birmingham-city-university","Enrolment",0,0
"Birmingham City University","birmingham-city-university","Enrolment",1,14
"Birmingham City University","birmingham-city-university","Enrolment",2,26
"Birmingham City University","birmingham-city-university","Enrolment",3,38
"Birmingham City University","birmingham-city-university","Enrolment",4,52
"Birmingham City University","birmingham-city-university","Enrolment",5,61
"Birmingham City University","birmingham-city-university","Enrolment",6,69
"Birmingham City University","birmingham-city-university","Enrolment",7,77
"Birmingham City University","birmingham-city-university","Enrolment",8,85
"Birmingham City University","birmingham-city-university","Enrolment",9,94
"Birmingham City University","birmingham-city-university","Enrolment",10,100
"Birmingham City University","birmingham-city-university","Equal",0,0
"Birmingham City University","birmingham-city-university","Equal",1,10
"Birmingham City University","birmingham-city-university","Equal",2,20
"Birmingham City University","birmingham-city-university","Equal",3,30
"Birmingham City University","birmingham-city-university","Equal",4,40
"Birmingham City University","birmingham-city-university","Equal",5,50
"Birmingham City University","birmingham-city-university","Equal",6,60
"Birmingham City University","birmingham-city-university","Equal",7,70
"Birmingham City University","birmingham-city-university","Equal",8,80
"Birmingham City University","birmingham-city-university","Equal",9,90
"Birmingham City University","birmingham-city-university","Equal",10,100
"Birmingham City University","birmingham-city-university","Required",0,0
"Birmingham City University","birmingham-city-university","Required",1,5
"Birmingham City University","birmingham-city-university","Required",2,11
"Birmingham City University","birmingham-city-university","Required",3,19
"Birmingham City University","birmingham-city-university","Required",4,28
"Birmingham City University","birmingham-city-university","Required",5,38
"Birmingham City University","birmingham-city-university","Required",6,49
"Birmingham City University","birmingham-city-university","Required",7,60
"Birmingham City University","birmingham-city-university","Required",8,72
"Birmingham City University","birmingham-city-university","Required",9,85
"Birmingham City University","birmingham-city-university","Required",10,100
