"university_name","university_slug","group","decile","cumulative_percentage"
"Leeds Beckett University","leeds-beckett-university","Enrolment",0,0
"Leeds Beckett University","leeds-beckett-university","Enrolment",1,5
"Leeds Beckett University","leeds-beckett-university","Enrolment",2,11
"Leeds Beckett University","leeds-beckett-university","Enrolment",3,19
"Leeds Beckett University","leeds-beckett-university","Enrolment",4,29
"Leeds Beckett University","leeds-beckett-university","Enrolment",5,39
"Leeds Beckett University","leeds-beckett-university","Enrolment",6,49
"Leeds Beckett University","leeds-beckett-university","Enrolment",7,60
"Leeds Beckett University","leeds-beckett-university","Enrolment",8,74
"Leeds Beckett University","leeds-beckett-university","Enrolment",9,90
"Leeds Beckett University","leeds-beckett-university","Enrolment",10,100
"Leeds Beckett University","leeds-beckett-university","Equal",0,0
"Leeds Beckett University","leeds-beckett-university","Equal",1,10
"Leeds Beckett University","leeds-beckett-university","Equal",2,20
"Leeds Beckett University","leeds-beckett-university","Equal",3,30
"Leeds Beckett University","leeds-beckett-university","Equal",4,40
"Leeds Beckett University","leeds-beckett-university","Equal",5,50
"Leeds Beckett University","leeds-beckett-university","Equal",6,60
"Leeds Beckett University","leeds-beckett-university","Equal",7,70
"Leeds Beckett University","leeds-beckett-university","Equal",8,80
"Leeds Beckett University","leeds-beckett-university","Equal",9,90
"Leeds Beckett University","leeds-beckett-university","Equal",10,100
"Leeds Beckett University","leeds-beckett-university","Required",0,0
"Leeds Beckett University","leeds-beckett-university","Required",1,6
"Leeds Beckett University","leeds-beckett-university","Required",2,12
"Leeds Beckett University","leeds-beckett-university","Required",3,20
"Leeds Beckett University","leeds-beckett-university","Required",4,31
"Leeds Beckett University","leeds-beckett-university","Required",5,40
"Leeds Beckett University","leeds-beckett-university","Required",6,49
"Leeds Beckett University","leeds-beckett-university","Required",7,60
"Leeds Beckett University","leeds-beckett-university","Required",8,72
"Leeds Beckett University","leeds-beckett-university","Required",9,87
"Leeds Beckett University","leeds-beckett-university","Required",10,100
