"university_name","university_slug","group","decile","cumulative_percentage"
"Teesside University","teesside-university","Enrolment",0,0
"Teesside University","teesside-university","Enrolment",1,12
"Teesside University","teesside-university","Enrolment",2,23
"Teesside University","teesside-university","Enrolment",3,34
"Teesside University","teesside-university","Enrolment",4,46
"Teesside University","teesside-university","Enrolment",5,54
"Teesside University","teesside-university","Enrolment",6,64
"Teesside University","teesside-university","Enrolment",7,72
"Teesside University","teesside-university","Enrolment",8,83
"Teesside University","teesside-university","Enrolment",9,94
"Teesside University","teesside-university","Enrolment",10,100
"Teesside University","teesside-university","Equal",0,0
"Teesside University","teesside-university","Equal",1,10
"Teesside University","teesside-university","Equal",2,20
"Teesside University","teesside-university","Equal",3,30
"Teesside University","teesside-university","Equal",4,40
"Teesside University","teesside-university","Equal",5,50
"Teesside University","teesside-university","Equal",6,60
"Teesside University","teesside-university","Equal",7,70
"Teesside University","teesside-university","Equal",8,80
"Teesside University","teesside-university","Equal",9,90
"Teesside University","teesside-university","Equal",10,100
"Teesside University","teesside-university","Required",0,0
"Teesside University","teesside-university","Required",1,5
"Teesside University","teesside-university","Required",2,11
"Teesside University","teesside-university","Required",3,19
"Teesside University","teesside-university","Required",4,28
"Teesside University","teesside-university","Required",5,38
"Teesside University","teesside-university","Required",6,49
"Teesside University","teesside-university","Required",7,60
"Teesside University","teesside-university","Required",8,72
"Teesside University","teesside-university","Required",9,85
"Teesside University","teesside-university","Required",10,100
