"university_name","university_slug","group","decile","cumulative_percentage"
"Teesside University","teesside-university","Enrolment",0,0
"Teesside University","teesside-university","Enrolment",1,12
"Teesside University","teesside-university","Enrolment",2,23
"Teesside University","teesside-university","Enrolment",3,34
"Teesside University","teesside-university","Enrolment",4,46
"Teesside University","teesside-university","Enrolment",5,54
"Teesside University","teesside-university","Enrolment",6,64
"Teesside University","teesside-university","Enrolment",7,72
"Teesside University","teesside-university","Enrolment",8,83
"Teesside University","teesside-university","Enrolment",9,94
"Teesside University","teesside-university","Enrolment",10,100
"Teesside University","teesside-university","Equal",0,0
"Teesside University","teesside-university","Equal",1,10
"Teesside University","teesside-university","Equal",2,20
"Teesside University","teesside-university","Equal",3,30
"Teesside University","teesside-university","Equal",4,40
"Teesside University","teesside-university","Equal",5,50
"Teesside University","teesside-university","Equal",6,60
"Teesside University","teesside-university","Equal",7,70
"Teesside University","teesside-university","Equal",8,80
"Teesside University","teesside-university","Equal",9,90
"Teesside University","teesside-university","Equal",10,100
"Teesside University","teesside-university","Required",0,0
"Teesside University","teesside-university","Required",1,7
"Teesside University","teesside-university","Required",2,14
"Teesside University","teesside-university","Required",3,24
"Teesside University","teesside-university","Required",4,34
"Teesside University","teesside-university","Required",5,43
"Teesside University","teesside-university","Required",6,54
"Teesside University","teesside-university","Required",7,64
"Teesside University","teesside-university","Required",8,76
"Teesside University","teesside-university","Required",9,89
"Teesside University","teesside-university","Required",10,100
