"university_name","university_slug","group","decile","cumulative_percentage"
"University of Hertfordshire","university-of-hertfordshire","Enrolment",0,0
"University of Hertfordshire","university-of-hertfordshire","Enrolment",1,9
"University of Hertfordshire","university-of-hertfordshire","Enrolment",2,21
"University of Hertfordshire","university-of-hertfordshire","Enrolment",3,35
"University of Hertfordshire","university-of-hertfordshire","Enrolment",4,48
"University of Hertfordshire","university-of-hertfordshire","Enrolment",5,61
"University of Hertfordshire","university-of-hertfordshire","Enrolment",6,70
"University of Hertfordshire","university-of-hertfordshire","Enrolment",7,80
"University of Hertfordshire","university-of-hertfordshire","Enrolment",8,88
"University of Hertfordshire","university-of-hertfordshire","Enrolment",9,95
"University of Hertfordshire","university-of-hertfordshire","Enrolment",10,100
"University of Hertfordshire","university-of-hertfordshire","Equal",0,0
"University of Hertfordshire","university-of-hertfordshire","Equal",1,10
"University of Hertfordshire","university-of-hertfordshire","Equal",2,20
"University of Hertfordshire","university-of-hertfordshire","Equal",3,30
"University of Hertfordshire","university-of-hertfordshire","Equal",4,40
"University of Hertfordshire","university-of-hertfordshire","Equal",5,50
"University of Hertfordshire","university-of-hertfordshire","Equal",6,60
"University of Hertfordshire","university-of-hertfordshire","Equal",7,70
"University of Hertfordshire","university-of-hertfordshire","Equal",8,80
"University of Hertfordshire","university-of-hertfordshire","Equal",9,90
"University of Hertfordshire","university-of-hertfordshire","Equal",10,100
"University of Hertfordshire","university-of-hertfordshire","Required",0,0
"University of Hertfordshire","university-of-hertfordshire","Required",1,5
"University of Hertfordshire","university-of-hertfordshire","Required",2,11
"University of Hertfordshire","university-of-hertfordshire","Required",3,18
"University of Hertfordshire","university-of-hertfordshire","Required",4,27
"University of Hertfordshire","university-of-hertfordshire","Required",5,37
"University of Hertfordshire","university-of-hertfordshire","Required",6,48
"University of Hertfordshire","university-of-hertfordshire","Required",7,59
"University of Hertfordshire","university-of-hertfordshire","Required",8,71
"University of Hertfordshire","university-of-hertfordshire","Required",9,84
"University of Hertfordshire","university-of-hertfordshire","Required",10,100
