"university_name","university_slug","group","decile","cumulative_percentage"
"Keele University","keele-university","Enrolment",0,0
"Keele University","keele-university","Enrolment",1,6
"Keele University","keele-university","Enrolment",2,13
"Keele University","keele-university","Enrolment",3,22
"Keele University","keele-university","Enrolment",4,34
"Keele University","keele-university","Enrolment",5,43
"Keele University","keele-university","Enrolment",6,53
"Keele University","keele-university","Enrolment",7,63
"Keele University","keele-university","Enrolment",8,75
"Keele University","keele-university","Enrolment",9,89
"Keele University","keele-university","Enrolment",10,100
"Keele University","keele-university","Equal",0,0
"Keele University","keele-university","Equal",1,10
"Keele University","keele-university","Equal",2,20
"Keele University","keele-university","Equal",3,30
"Keele University","keele-university","Equal",4,40
"Keele University","keele-university","Equal",5,50
"Keele University","keele-university","Equal",6,60
"Keele University","keele-university","Equal",7,70
"Keele University","keele-university","Equal",8,80
"Keele University","keele-university","Equal",9,90
"Keele University","keele-university","Equal",10,100
"Keele University","keele-university","Required",0,0
"Keele University","keele-university","Required",1,5
"Keele University","keele-university","Required",2,11
"Keele University","keele-university","Required",3,19
"Keele University","keele-university","Required",4,29
"Keele University","keele-university","Required",5,39
"Keele University","keele-university","Required",6,49
"Keele University","keele-university","Required",7,60
"Keele University","keele-university","Required",8,73
"Keele University","keele-university","Required",9,88
"Keele University","keele-university","Required",10,100
