"university_name","university_slug","group","decile","cumulative_percentage"
"Solent University","solent-university","Enrolment",0,0
"Solent University","solent-university","Enrolment",1,4
"Solent University","solent-university","Enrolment",2,9
"Solent University","solent-university","Enrolment",3,17
"Solent University","solent-university","Enrolment",4,25
"Solent University","solent-university","Enrolment",5,37
"Solent University","solent-university","Enrolment",6,50
"Solent University","solent-university","Enrolment",7,64
"Solent University","solent-university","Enrolment",8,78
"Solent University","solent-university","Enrolment",9,91
"Solent University","solent-university","Enrolment",10,100
"Solent University","solent-university","Equal",0,0
"Solent University","solent-university","Equal",1,10
"Solent University","solent-university","Equal",2,20
"Solent University","solent-university","Equal",3,30
"Solent University","solent-university","Equal",4,40
"Solent University","solent-university","Equal",5,50
"Solent University","solent-university","Equal",6,60
"Solent University","solent-university","Equal",7,70
"Solent University","solent-university","Equal",8,80
"Solent University","solent-university","Equal",9,90
"Solent University","solent-university","Equal",10,100
"Solent University","solent-university","Required",0,0
"Solent University","solent-university","Required",1,5
"Solent University","solent-university","Required",2,11
"Solent University","solent-university","Required",3,18
"Solent University","solent-university","Required",4,27
"Solent University","solent-university","Required",5,37
"Solent University","solent-university","Required",6,47
"Solent University","solent-university","Required",7,58
"Solent University","solent-university","Required",8,70
"Solent University","solent-university","Required",9,83
"Solent University","solent-university","Required",10,100
