"university_name","university_slug","group","decile","cumulative_percentage"
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",0,0
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",1,2
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",2,6
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",3,12
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",4,18
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",5,28
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",6,41
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",7,57
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",8,73
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",9,88
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Enrolment",10,100
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",0,0
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",1,10
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",2,20
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",3,30
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",4,40
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",5,50
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",6,60
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",7,70
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",8,80
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",9,90
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Equal",10,100
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",0,0
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",1,4
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",2,9
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",3,15
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",4,23
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",5,33
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",6,43
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",7,54
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",8,67
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",9,83
"University of the West of England, Bristol","university-of-the-west-of-england-bristol","Required",10,100
