"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Brighton","the-university-of-brighton","Enrolment",0,0
"The University of Brighton","the-university-of-brighton","Enrolment",1,4
"The University of Brighton","the-university-of-brighton","Enrolment",2,10
"The University of Brighton","the-university-of-brighton","Enrolment",3,18
"The University of Brighton","the-university-of-brighton","Enrolment",4,29
"The University of Brighton","the-university-of-brighton","Enrolment",5,40
"The University of Brighton","the-university-of-brighton","Enrolment",6,54
"The University of Brighton","the-university-of-brighton","Enrolment",7,66
"The University of Brighton","the-university-of-brighton","Enrolment",8,79
"The University of Brighton","the-university-of-brighton","Enrolment",9,91
"The University of Brighton","the-university-of-brighton","Enrolment",10,100
"The University of Brighton","the-university-of-brighton","Equal",0,0
"The University of Brighton","the-university-of-brighton","Equal",1,10
"The University of Brighton","the-university-of-brighton","Equal",2,20
"The University of Brighton","the-university-of-brighton","Equal",3,30
"The University of Brighton","the-university-of-brighton","Equal",4,40
"The University of Brighton","the-university-of-brighton","Equal",5,50
"The University of Brighton","the-university-of-brighton","Equal",6,60
"The University of Brighton","the-university-of-brighton","Equal",7,70
"The University of Brighton","the-university-of-brighton","Equal",8,80
"The University of Brighton","the-university-of-brighton","Equal",9,90
"The University of Brighton","the-university-of-brighton","Equal",10,100
"The University of Brighton","the-university-of-brighton","Required",0,0
"The University of Brighton","the-university-of-brighton","Required",1,5
"The University of Brighton","the-university-of-brighton","Required",2,11
"The University of Brighton","the-university-of-brighton","Required",3,18
"The University of Brighton","the-university-of-brighton","Required",4,27
"The University of Brighton","the-university-of-brighton","Required",5,36
"The University of Brighton","the-university-of-brighton","Required",6,48
"The University of Brighton","the-university-of-brighton","Required",7,60
"The University of Brighton","the-university-of-brighton","Required",8,71
"The University of Brighton","the-university-of-brighton","Required",9,82
"The University of Brighton","the-university-of-brighton","Required",10,100
