"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Exeter","the-university-of-exeter","Enrolment",0,0
"The University of Exeter","the-university-of-exeter","Enrolment",1,1
"The University of Exeter","the-university-of-exeter","Enrolment",2,3
"The University of Exeter","the-university-of-exeter","Enrolment",3,6
"The University of Exeter","the-university-of-exeter","Enrolment",4,10
"The University of Exeter","the-university-of-exeter","Enrolment",5,16
"The University of Exeter","the-university-of-exeter","Enrolment",6,25
"The University of Exeter","the-university-of-exeter","Enrolment",7,35
"The University of Exeter","the-university-of-exeter","Enrolment",8,47
"The University of Exeter","the-university-of-exeter","Enrolment",9,60
"The University of Exeter","the-university-of-exeter","Enrolment",10,100
"The University of Exeter","the-university-of-exeter","Equal",0,0
"The University of Exeter","the-university-of-exeter","Equal",1,10
"The University of Exeter","the-university-of-exeter","Equal",2,20
"The University of Exeter","the-university-of-exeter","Equal",3,30
"The University of Exeter","the-university-of-exeter","Equal",4,40
"The University of Exeter","the-university-of-exeter","Equal",5,50
"The University of Exeter","the-university-of-exeter","Equal",6,60
"The University of Exeter","the-university-of-exeter","Equal",7,70
"The University of Exeter","the-university-of-exeter","Equal",8,80
"The University of Exeter","the-university-of-exeter","Equal",9,90
"The University of Exeter","the-university-of-exeter","Equal",10,100
"The University of Exeter","the-university-of-exeter","Required",0,0
"The University of Exeter","the-university-of-exeter","Required",1,2
"The University of Exeter","the-university-of-exeter","Required",2,5
"The University of Exeter","the-university-of-exeter","Required",3,10
"The University of Exeter","the-university-of-exeter","Required",4,17
"The University of Exeter","the-university-of-exeter","Required",5,25
"The University of Exeter","the-university-of-exeter","Required",6,35
"The University of Exeter","the-university-of-exeter","Required",7,46
"The University of Exeter","the-university-of-exeter","Required",8,59
"The University of Exeter","the-university-of-exeter","Required",9,75
"The University of Exeter","the-university-of-exeter","Required",10,100
