"university_name","university_slug","group","decile","cumulative_percentage"
"University of Manchester","university-of-manchester","Enrolment",0,0
"University of Manchester","university-of-manchester","Enrolment",1,4
"University of Manchester","university-of-manchester","Enrolment",2,9
"University of Manchester","university-of-manchester","Enrolment",3,15
"University of Manchester","university-of-manchester","Enrolment",4,24
"University of Manchester","university-of-manchester","Enrolment",5,33
"University of Manchester","university-of-manchester","Enrolment",6,41
"University of Manchester","university-of-manchester","Enrolment",7,52
"University of Manchester","university-of-manchester","Enrolment",8,64
"University of Manchester","university-of-manchester","Enrolment",9,78
"University of Manchester","university-of-manchester","Enrolment",10,100
"University of Manchester","university-of-manchester","Equal",0,0
"University of Manchester","university-of-manchester","Equal",1,10
"University of Manchester","university-of-manchester","Equal",2,20
"University of Manchester","university-of-manchester","Equal",3,30
"University of Manchester","university-of-manchester","Equal",4,40
"University of Manchester","university-of-manchester","Equal",5,50
"University of Manchester","university-of-manchester","Equal",6,60
"University of Manchester","university-of-manchester","Equal",7,70
"University of Manchester","university-of-manchester","Equal",8,80
"University of Manchester","university-of-manchester","Equal",9,90
"University of Manchester","university-of-manchester","Equal",10,100
"University of Manchester","university-of-manchester","Required",0,0
"University of Manchester","university-of-manchester","Required",1,6
"University of Manchester","university-of-manchester","Required",2,13
"University of Manchester","university-of-manchester","Required",3,22
"University of Manchester","university-of-manchester","Required",4,32
"University of Manchester","university-of-manchester","Required",5,41
"University of Manchester","university-of-manchester","Required",6,50
"University of Manchester","university-of-manchester","Required",7,59
"University of Manchester","university-of-manchester","Required",8,70
"University of Manchester","university-of-manchester","Required",9,83
"University of Manchester","university-of-manchester","Required",10,100
