"university_name","university_slug","group","decile","cumulative_percentage"
"De Montfort University","de-montfort-university","Enrolment",0,0
"De Montfort University","de-montfort-university","Enrolment",1,7
"De Montfort University","de-montfort-university","Enrolment",2,17
"De Montfort University","de-montfort-university","Enrolment",3,28
"De Montfort University","de-montfort-university","Enrolment",4,42
"De Montfort University","de-montfort-university","Enrolment",5,53
"De Montfort University","de-montfort-university","Enrolment",6,63
"De Montfort University","de-montfort-university","Enrolment",7,73
"De Montfort University","de-montfort-university","Enrolment",8,83
"De Montfort University","de-montfort-university","Enrolment",9,94
"De Montfort University","de-montfort-university","Enrolment",10,100
"De Montfort University","de-montfort-university","Equal",0,0
"De Montfort University","de-montfort-university","Equal",1,10
"De Montfort University","de-montfort-university","Equal",2,20
"De Montfort University","de-montfort-university","Equal",3,30
"De Montfort University","de-montfort-university","Equal",4,40
"De Montfort University","de-montfort-university","Equal",5,50
"De Montfort University","de-montfort-university","Equal",6,60
"De Montfort University","de-montfort-university","Equal",7,70
"De Montfort University","de-montfort-university","Equal",8,80
"De Montfort University","de-montfort-university","Equal",9,90
"De Montfort University","de-montfort-university","Equal",10,100
"De Montfort University","de-montfort-university","Required",0,0
"De Montfort University","de-montfort-university","Required",1,5
"De Montfort University","de-montfort-university","Required",2,11
"De Montfort University","de-montfort-university","Required",3,19
"De Montfort University","de-montfort-university","Required",4,28
"De Montfort University","de-montfort-university","Required",5,38
"De Montfort University","de-montfort-university","Required",6,49
"De Montfort University","de-montfort-university","Required",7,60
"De Montfort University","de-montfort-university","Required",8,72
"De Montfort University","de-montfort-university","Required",9,85
"De Montfort University","de-montfort-university","Required",10,100
