"university_name","university_slug","group","decile","cumulative_percentage"
"University of Worcester","university-of-worcester","Enrolment",0,0
"University of Worcester","university-of-worcester","Enrolment",1,5
"University of Worcester","university-of-worcester","Enrolment",2,10
"University of Worcester","university-of-worcester","Enrolment",3,18
"University of Worcester","university-of-worcester","Enrolment",4,29
"University of Worcester","university-of-worcester","Enrolment",5,39
"University of Worcester","university-of-worcester","Enrolment",6,50
"University of Worcester","university-of-worcester","Enrolment",7,64
"University of Worcester","university-of-worcester","Enrolment",8,78
"University of Worcester","university-of-worcester","Enrolment",9,91
"University of Worcester","university-of-worcester","Enrolment",10,100
"University of Worcester","university-of-worcester","Equal",0,0
"University of Worcester","university-of-worcester","Equal",1,10
"University of Worcester","university-of-worcester","Equal",2,20
"University of Worcester","university-of-worcester","Equal",3,30
"University of Worcester","university-of-worcester","Equal",4,40
"University of Worcester","university-of-worcester","Equal",5,50
"University of Worcester","university-of-worcester","Equal",6,60
"University of Worcester","university-of-worcester","Equal",7,70
"University of Worcester","university-of-worcester","Equal",8,80
"University of Worcester","university-of-worcester","Equal",9,90
"University of Worcester","university-of-worcester","Equal",10,100
"University of Worcester","university-of-worcester","Required",0,0
"University of Worcester","university-of-worcester","Required",1,5
"University of Worcester","university-of-worcester","Required",2,10
"University of Worcester","university-of-worcester","Required",3,17
"University of Worcester","university-of-worcester","Required",4,25
"University of Worcester","university-of-worcester","Required",5,34
"University of Worcester","university-of-worcester","Required",6,44
"University of Worcester","university-of-worcester","Required",7,55
"University of Worcester","university-of-worcester","Required",8,68
"University of Worcester","university-of-worcester","Required",9,81
"University of Worcester","university-of-worcester","Required",10,100
