"university_name","university_slug","group","decile","cumulative_percentage"
"University College London","university-college-london","Enrolment",0,0
"University College London","university-college-london","Enrolment",1,4
"University College London","university-college-london","Enrolment",2,9
"University College London","university-college-london","Enrolment",3,16
"University College London","university-college-london","Enrolment",4,24
"University College London","university-college-london","Enrolment",5,31
"University College London","university-college-london","Enrolment",6,38
"University College London","university-college-london","Enrolment",7,45
"University College London","university-college-london","Enrolment",8,53
"University College London","university-college-london","Enrolment",9,60
"University College London","university-college-london","Enrolment",10,100
"University College London","university-college-london","Equal",0,0
"University College London","university-college-london","Equal",1,10
"University College London","university-college-london","Equal",2,20
"University College London","university-college-london","Equal",3,30
"University College London","university-college-london","Equal",4,40
"University College London","university-college-london","Equal",5,50
"University College London","university-college-london","Equal",6,60
"University College London","university-college-london","Equal",7,70
"University College London","university-college-london","Equal",8,80
"University College London","university-college-london","Equal",9,90
"University College London","university-college-london","Equal",10,100
"University College London","university-college-london","Required",0,0
"University College London","university-college-london","Required",1,6
"University College London","university-college-london","Required",2,12
"University College London","university-college-london","Required",3,21
"University College London","university-college-london","Required",4,32
"University College London","university-college-london","Required",5,40
"University College London","university-college-london","Required",6,47
"University College London","university-college-london","Required",7,54
"University College London","university-college-london","Required",8,61
"University College London","university-college-london","Required",9,69
"University College London","university-college-london","Required",10,100
