"university_name","university_slug","group","decile","cumulative_percentage"
"University of Cumbria","university-of-cumbria","Enrolment",0,0
"University of Cumbria","university-of-cumbria","Enrolment",1,6
"University of Cumbria","university-of-cumbria","Enrolment",2,11
"University of Cumbria","university-of-cumbria","Enrolment",3,18
"University of Cumbria","university-of-cumbria","Enrolment",4,28
"University of Cumbria","university-of-cumbria","Enrolment",5,40
"University of Cumbria","university-of-cumbria","Enrolment",6,51
"University of Cumbria","university-of-cumbria","Enrolment",7,63
"University of Cumbria","university-of-cumbria","Enrolment",8,78
"University of Cumbria","university-of-cumbria","Enrolment",9,93
"University of Cumbria","university-of-cumbria","Enrolment",10,100
"University of Cumbria","university-of-cumbria","Equal",0,0
"University of Cumbria","university-of-cumbria","Equal",1,10
"University of Cumbria","university-of-cumbria","Equal",2,20
"University of Cumbria","university-of-cumbria","Equal",3,30
"University of Cumbria","university-of-cumbria","Equal",4,40
"University of Cumbria","university-of-cumbria","Equal",5,50
"University of Cumbria","university-of-cumbria","Equal",6,60
"University of Cumbria","university-of-cumbria","Equal",7,70
"University of Cumbria","university-of-cumbria","Equal",8,80
"University of Cumbria","university-of-cumbria","Equal",9,90
"University of Cumbria","university-of-cumbria","Equal",10,100
"University of Cumbria","university-of-cumbria","Required",0,0
"University of Cumbria","university-of-cumbria","Required",1,5
"University of Cumbria","university-of-cumbria","Required",2,11
"University of Cumbria","university-of-cumbria","Required",3,18
"University of Cumbria","university-of-cumbria","Required",4,27
"University of Cumbria","university-of-cumbria","Required",5,37
"University of Cumbria","university-of-cumbria","Required",6,48
"University of Cumbria","university-of-cumbria","Required",7,59
"University of Cumbria","university-of-cumbria","Required",8,71
"University of Cumbria","university-of-cumbria","Required",9,86
"University of Cumbria","university-of-cumbria","Required",10,100
