"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Reading","the-university-of-reading","Enrolment",0,0
"The University of Reading","the-university-of-reading","Enrolment",1,3
"The University of Reading","the-university-of-reading","Enrolment",2,7
"The University of Reading","the-university-of-reading","Enrolment",3,13
"The University of Reading","the-university-of-reading","Enrolment",4,21
"The University of Reading","the-university-of-reading","Enrolment",5,31
"The University of Reading","the-university-of-reading","Enrolment",6,41
"The University of Reading","the-university-of-reading","Enrolment",7,51
"The University of Reading","the-university-of-reading","Enrolment",8,63
"The University of Reading","the-university-of-reading","Enrolment",9,79
"The University of Reading","the-university-of-reading","Enrolment",10,100
"The University of Reading","the-university-of-reading","Equal",0,0
"The University of Reading","the-university-of-reading","Equal",1,10
"The University of Reading","the-university-of-reading","Equal",2,20
"The University of Reading","the-university-of-reading","Equal",3,30
"The University of Reading","the-university-of-reading","Equal",4,40
"The University of Reading","the-university-of-reading","Equal",5,50
"The University of Reading","the-university-of-reading","Equal",6,60
"The University of Reading","the-university-of-reading","Equal",7,70
"The University of Reading","the-university-of-reading","Equal",8,80
"The University of Reading","the-university-of-reading","Equal",9,90
"The University of Reading","the-university-of-reading","Equal",10,100
"The University of Reading","the-university-of-reading","Required",0,0
"The University of Reading","the-university-of-reading","Required",1,5
"The University of Reading","the-university-of-reading","Required",2,11
"The University of Reading","the-university-of-reading","Required",3,18
"The University of Reading","the-university-of-reading","Required",4,27
"The University of Reading","the-university-of-reading","Required",5,37
"The University of Reading","the-university-of-reading","Required",6,48
"The University of Reading","the-university-of-reading","Required",7,59
"The University of Reading","the-university-of-reading","Required",8,71
"The University of Reading","the-university-of-reading","Required",9,85
"The University of Reading","the-university-of-reading","Required",10,100
