"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Essex","the-university-of-essex","Enrolment",0,0
"The University of Essex","the-university-of-essex","Enrolment",1,9
"The University of Essex","the-university-of-essex","Enrolment",2,19
"The University of Essex","the-university-of-essex","Enrolment",3,31
"The University of Essex","the-university-of-essex","Enrolment",4,44
"The University of Essex","the-university-of-essex","Enrolment",5,56
"The University of Essex","the-university-of-essex","Enrolment",6,66
"The University of Essex","the-university-of-essex","Enrolment",7,76
"The University of Essex","the-university-of-essex","Enrolment",8,85
"The University of Essex","the-university-of-essex","Enrolment",9,93
"The University of Essex","the-university-of-essex","Enrolment",10,100
"The University of Essex","the-university-of-essex","Equal",0,0
"The University of Essex","the-university-of-essex","Equal",1,10
"The University of Essex","the-university-of-essex","Equal",2,20
"The University of Essex","the-university-of-essex","Equal",3,30
"The University of Essex","the-university-of-essex","Equal",4,40
"The University of Essex","the-university-of-essex","Equal",5,50
"The University of Essex","the-university-of-essex","Equal",6,60
"The University of Essex","the-university-of-essex","Equal",7,70
"The University of Essex","the-university-of-essex","Equal",8,80
"The University of Essex","the-university-of-essex","Equal",9,90
"The University of Essex","the-university-of-essex","Equal",10,100
"The University of Essex","the-university-of-essex","Required",0,0
"The University of Essex","the-university-of-essex","Required",1,5
"The University of Essex","the-university-of-essex","Required",2,11
"The University of Essex","the-university-of-essex","Required",3,18
"The University of Essex","the-university-of-essex","Required",4,27
"The University of Essex","the-university-of-essex","Required",5,37
"The University of Essex","the-university-of-essex","Required",6,48
"The University of Essex","the-university-of-essex","Required",7,59
"The University of Essex","the-university-of-essex","Required",8,71
"The University of Essex","the-university-of-essex","Required",9,84
"The University of Essex","the-university-of-essex","Required",10,100
