"university_name","university_slug","group","decile","cumulative_percentage"
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",0,0
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",1,6
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",2,13
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",3,24
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",4,33
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",5,43
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",6,53
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",7,64
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",8,76
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",9,91
"Liverpool John Moores University","liverpool-john-moores-university","Enrolment",10,100
"Liverpool John Moores University","liverpool-john-moores-university","Equal",0,0
"Liverpool John Moores University","liverpool-john-moores-university","Equal",1,10
"Liverpool John Moores University","liverpool-john-moores-university","Equal",2,20
"Liverpool John Moores University","liverpool-john-moores-university","Equal",3,30
"Liverpool John Moores University","liverpool-john-moores-university","Equal",4,40
"Liverpool John Moores University","liverpool-john-moores-university","Equal",5,50
"Liverpool John Moores University","liverpool-john-moores-university","Equal",6,60
"Liverpool John Moores University","liverpool-john-moores-university","Equal",7,70
"Liverpool John Moores University","liverpool-john-moores-university","Equal",8,80
"Liverpool John Moores University","liverpool-john-moores-university","Equal",9,90
"Liverpool John Moores University","liverpool-john-moores-university","Equal",10,100
"Liverpool John Moores University","liverpool-john-moores-university","Required",0,0
"Liverpool John Moores University","liverpool-john-moores-university","Required",1,7
"Liverpool John Moores University","liverpool-john-moores-university","Required",2,14
"Liverpool John Moores University","liverpool-john-moores-university","Required",3,24
"Liverpool John Moores University","liverpool-john-moores-university","Required",4,34
"Liverpool John Moores University","liverpool-john-moores-university","Required",5,44
"Liverpool John Moores University","liverpool-john-moores-university","Required",6,54
"Liverpool John Moores University","liverpool-john-moores-university","Required",7,64
"Liverpool John Moores University","liverpool-john-moores-university","Required",8,75
"Liverpool John Moores University","liverpool-john-moores-university","Required",9,88
"Liverpool John Moores University","liverpool-john-moores-university","Required",10,100
