"university_name","university_slug","group","decile","cumulative_percentage"
"The University of West London","the-university-of-west-london","Enrolment",0,0
"The University of West London","the-university-of-west-london","Enrolment",1,13
"The University of West London","the-university-of-west-london","Enrolment",2,28
"The University of West London","the-university-of-west-london","Enrolment",3,43
"The University of West London","the-university-of-west-london","Enrolment",4,56
"The University of West London","the-university-of-west-london","Enrolment",5,68
"The University of West London","the-university-of-west-london","Enrolment",6,75
"The University of West London","the-university-of-west-london","Enrolment",7,82
"The University of West London","the-university-of-west-london","Enrolment",8,88
"The University of West London","the-university-of-west-london","Enrolment",9,93
"The University of West London","the-university-of-west-london","Enrolment",10,100
"The University of West London","the-university-of-west-london","Equal",0,0
"The University of West London","the-university-of-west-london","Equal",1,10
"The University of West London","the-university-of-west-london","Equal",2,20
"The University of West London","the-university-of-west-london","Equal",3,30
"The University of West London","the-university-of-west-london","Equal",4,40
"The University of West London","the-university-of-west-london","Equal",5,50
"The University of West London","the-university-of-west-london","Equal",6,60
"The University of West London","the-university-of-west-london","Equal",7,70
"The University of West London","the-university-of-west-london","Equal",8,80
"The University of West London","the-university-of-west-london","Equal",9,90
"The University of West London","the-university-of-west-london","Equal",10,100
"The University of West London","the-university-of-west-london","Required",0,0
"The University of West London","the-university-of-west-london","Required",1,7
"The University of West London","the-university-of-west-london","Required",2,15
"The University of West London","the-university-of-west-london","Required",3,25
"The University of West London","the-university-of-west-london","Required",4,38
"The University of West London","the-university-of-west-london","Required",5,48
"The University of West London","the-university-of-west-london","Required",6,57
"The University of West London","the-university-of-west-london","Required",7,65
"The University of West London","the-university-of-west-london","Required",8,73
"The University of West London","the-university-of-west-london","Required",9,82
"The University of West London","the-university-of-west-london","Required",10,100
