"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Oxford","the-university-of-oxford","Enrolment",0,0
"The University of Oxford","the-university-of-oxford","Enrolment",1,1
"The University of Oxford","the-university-of-oxford","Enrolment",2,3
"The University of Oxford","the-university-of-oxford","Enrolment",3,6
"The University of Oxford","the-university-of-oxford","Enrolment",4,11
"The University of Oxford","the-university-of-oxford","Enrolment",5,17
"The University of Oxford","the-university-of-oxford","Enrolment",6,24
"The University of Oxford","the-university-of-oxford","Enrolment",7,33
"The University of Oxford","the-university-of-oxford","Enrolment",8,43
"The University of Oxford","the-university-of-oxford","Enrolment",9,56
"The University of Oxford","the-university-of-oxford","Enrolment",10,100
"The University of Oxford","the-university-of-oxford","Equal",0,0
"The University of Oxford","the-university-of-oxford","Equal",1,10
"The University of Oxford","the-university-of-oxford","Equal",2,20
"The University of Oxford","the-university-of-oxford","Equal",3,30
"The University of Oxford","the-university-of-oxford","Equal",4,40
"The University of Oxford","the-university-of-oxford","Equal",5,50
"The University of Oxford","the-university-of-oxford","Equal",6,60
"The University of Oxford","the-university-of-oxford","Equal",7,70
"The University of Oxford","the-university-of-oxford","Equal",8,80
"The University of Oxford","the-university-of-oxford","Equal",9,90
"The University of Oxford","the-university-of-oxford","Equal",10,100
"The University of Oxford","the-university-of-oxford","Required",0,0
"The University of Oxford","the-university-of-oxford","Required",1,1
"The University of Oxford","the-university-of-oxford","Required",2,3
"The University of Oxford","the-university-of-oxford","Required",3,6
"The University of Oxford","the-university-of-oxford","Required",4,11
"The University of Oxford","the-university-of-oxford","Required",5,17
"The University of Oxford","the-university-of-oxford","Required",6,25
"The University of Oxford","the-university-of-oxford","Required",7,34
"The University of Oxford","the-university-of-oxford","Required",8,44
"The University of Oxford","the-university-of-oxford","Required",9,57
"The University of Oxford","the-university-of-oxford","Required",10,100
