"Region","Lower working (%)","Higher professional (%)"
"Bedfordshire and Hertfordshire",15.716,23.147
"Berkshire, Buckinghamshire and Oxfordshire",13.164,25.542
"Cheshire",14.455,24.562
"Cornwall and Isles of Scilly",17.086,12.44
"Cumbria",16.357,12.015
"Derbyshire and Nottinghamshire",19.386,15.539
"Devon",15.714,15.265
"Dorset and Somerset",14.637,16.16
"East Anglia",17.472,16.679
"East Wales",18.221,16.353
"East Yorkshire and Northern Lincolnshire",25.428,10.914
"Eastern Scotland",18.483,18.769
"Essex",15.814,17.634
"Gloucestershire, Wiltshire and Bath/Bristol area",14.739,21.948
"Greater Manchester",22.566,15.903
"Hampshire and Isle of Wight",14.565,20.296
"Herefordshire, Worcestershire and Warwickshire",15.888,20.001
"Highlands and Islands",14.693,11.112
"Inner London - East",25.83,19.581
"Inner London - West",17.914,30.904
"Kent",15.807,17.514
"Lancashire",21.18,13.617
"Leicestershire, Rutland and Northamptonshire",20.923,15.926
"Lincolnshire",21.673,13.085
"Merseyside",20.143,15.186
"North Eastern Scotland",16.968,19.643
"North Yorkshire",12.739,19.453
"Northern Ireland",22.6,13.257
"Northumberland, and Tyne and Wear",22.656,13.759
"Outer London - East and North East",20.79,16.301
"Outer London - South",15.121,25.334
"Outer London - West and North West",19.095,22.451
"Shropshire and Staffordshire",17.388,14.348
"South Yorkshire",23.604,12.871
"Southern Scotland",18.526,11.602
"Surrey, East and West Sussex",11.846,23.267
"Tees Valley and Durham",23.443,11.306
"West Central Scotland",22.851,16.151
"West Midlands",28.605,12.52
"West Wales and The Valleys",21.638,10.85
"West Yorkshire",24.16,15.24
