ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,test,reading,NA,NA,475.5888735,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,UK,2022,NA,15,NA,test,reading,NA,NA,494.4046261,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,OECD,2018,NA,15,NA,test,reading,NA,NA,485.4874063,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,UK,2018,NA,15,NA,test,reading,NA,NA,503.9281094,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,OECD,2015,NA,15,NA,test,reading,NA,NA,488.5266081,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,UK,2015,NA,15,NA,test,reading,NA,NA,497.9719311,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,OECD,2012,NA,15,NA,test,reading,NA,NA,491.8212067,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,UK,2012,NA,15,NA,test,reading,NA,NA,499.3231153,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,OECD,2009,NA,15,NA,test,reading,NA,NA,490.3437924,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,UK,2009,NA,15,NA,test,reading,NA,NA,494.18201,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,OECD,2006,NA,15,NA,test,reading,NA,NA,485.3536053,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,UK,2006,NA,15,NA,test,reading,NA,NA,495.0835096,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,OECD,2003,NA,15,NA,test,reading,NA,NA,494.0859662,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
IN14,Skills at age 15,NA,NA,UK,2003,NA,15,NA,test,reading,NA,NA,507.012749,NA,NA,NA,NA,score,Averages for age 15 years PISA scale
